5.631664840121705240e-07 7.982858715737507034e-04 7.977382734966126029e-04 8.842828189026540776e-12 2.725283065456011775e-10 5.836699432086494709e-11
2.251633267112496820e-06 3.191625161960422955e-03 3.189435765364788053e-03 3.536573411859549126e-11 1.089941297354129079e-09 2.334351253787307123e-10
5.062305072258242964e-06 7.175466975069042137e-03 7.170544563798184404e-03 7.955198902031375003e-11 2.451723406504548536e-09 5.251058687341604070e-10
8.990031092203134625e-06 1.274223848835151496e-02 1.273349681226089089e-02 1.413737306136828344e-10 4.357015942309590864e-09 9.332151045606229793e-10
1.402761583997619586e-05 1.988136135534921897e-02 1.986772110210745929e-02 2.207919867483308262e-10 6.804617817418089543e-09 1.457533231223885626e-09
2.016583375308571386e-05 2.857927382585207648e-02 2.855966457852596868e-02 3.177567061231136800e-10 9.792986493439821880e-09 2.097765316308296361e-09
2.739344751835624169e-05 3.881945853749151076e-02 3.879282071583747826e-02 4.322067959303739700e-10 1.332023914292110127e-08 2.853551284030640038e-09
3.569723008254470554e-05 5.058247591836630142e-02 5.054776268834034608e-02 5.640701665137022721e-10 1.738415402443845048e-08 3.724466139402807684e-09
4.506199028468458451e-05 6.384600311910795800e-02 6.380218231118200967e-02 7.132637827932912812e-10 2.198217207083590604e-08 4.710020229411100991e-09
5.547060209439287317e-05 7.858487842585031025e-02 7.853093437128730314e-02 8.796937231499705839e-10 2.711139869844096976e-08 5.809659538754990187e-09
6.690403736430645455e-05 9.477115101565238009e-02 9.470608640078669038e-02 1.063255244246598853e-09 3.276860580458232637e-08 7.022766024986206465e-09
7.934140204482024474e-05 1.123741359994978040e-01 1.122969736681858760e-01 1.263832853312113112e-09 3.895023400901111023e-08 8.348657985401235965e-09
9.275997580208131992e-05 1.313604746029156112e-01 1.312702593127593464e-01 1.481300387035968801e-09 4.565239506287704333e-08 9.786590464226439008e-09
1.071352549345480507e-04 1.516941994149343387e-01 1.515899995459334126e-01 1.715521097319204648e-09 5.287087451074185887e-08 1.133575569010943246e-08
1.224409985356217823e-04 1.733368044626908688e-01 1.732177137288811175e-01 1.966347742970500086e-09 6.060113450178947557e-08 1.299528355385420683e-08
1.386492777801241185e-04 1.962473201582776161e-01 1.961124592051831650e-01 2.233622688897883759e-09 6.883831686035993092e-08 1.476424211807351271e-08
1.557305282903649331e-04 2.203823927775318825e-01 2.202309107867872484e-01 2.517178010795191691e-09 7.757724631543401020e-08 1.664163816132065558e-08
1.736536054125731950e-04 2.456963684410545801e-01 2.455274446376381758e-01 2.816835607763372746e-09 8.681243394135762880e-08 1.862641775830373611e-08
1.923858423583767316e-04 2.721413813291406192e-01 2.719542264705596679e-01 3.132407319138695287e-09 9.653808079111598747e-08 2.071746689443961691e-08
2.118931110723035617e-04 2.996674461253221455e-01 2.994613038939504257e-01 3.463695049857227402e-09 1.067480817332459955e-07 2.291361210327065858e-08
2.321398857184650913e-04 3.282225542438311772e-01 3.279967026478908254e-01 3.810490899802232715e-09 1.174360294961030476e-07 2.521362116475797167e-08
2.530893086528856009e-04 3.577527740063631834e-01 3.575065266290926580e-01 4.172577301450918269e-09 1.285952188096930791e-07 2.761620379685913835e-08
